Brand Name,Product,Path/Bank,Program / Sample,Notes,Examples
"Research by: AstraProc, ababohi, Ben, calcobrena, Cameron, crissxcr0ss, dumperghost, eph, GarageBandPoke, gameonion, Hexagon12, Josh06, leethobbit, Nanita, thelostrune, Tori",,,,,Major / minor contributions
"Note: Spreadsheet currently contains known inaccuracies and outdated information, and will be corrected in due time. AstraProc is a new co-maintainer for the spreadsheet. Rework in progress, please stay tuned.",,,,,
"We request that you give credit when posting these findings. Notes are at the bottom regarding spreadsheet credit and composer credit. Please do not incorrectly spell out/extend patch names. 
Permanent Discord invite link: https://discord.gg/VW85Ef5 | Youtube channel: https://www.youtube.com/channel/UCjtRHPfcg-Av7Vz1bu4ZgiA/     This spreadsheet is currently a Work In Progress.    ",,,,,
,,,,,
Section 1 - Live Service Games,,,,,
" - Games with essential online elements that can and will expire, which can feature additional tracks beyond original release date.",,,,,
"4LEAF (2000) - Jinbae Park, Goomin Nam, Sungwoon Jang",,,,,
Access,Virus Indigo,,C49 HongKongBC,,Seaside Sunset
EastWest,Funky Ass Loops,Partition D -> VOLUME 01 7M,32 Mannequin Party 110 A,Might be ProSamples 35,Readymade Funk
Hollywood Edge,Premiere Edition Vol. 1,PE-01 Nature Ambiences,ForestAmbienceBird PE010101,,Green Grass
KORG,TRITON-RACK,Programs -> INT-A,065 90's Piano,"Disable OSC2, disable MFX 1 (chorus)",Modern Cat Walk
Roland,JV-2080,,,,Break Time
Roland,SR-JV80-06 Dance,,140 Slide Fx x2,,Fortune Message
Roland,SR-JV80-06 Dance,,141 Spooky,,Nihao Carden
Spectrasonics,Bass Legends,Disc 2 -> PARTITION B -> ALL SLIDES,JP AC.UP-DWN,Regular bass should be the same one,Keltica Street R2
Spectrasonics,Metamorphosis,Disc 2 -> PARTITION A -> 99-105 LPS,HAMSTRING,,Modern Cat Walk
Spectrasonics,Metamorphosis,Disc 3 -> PARTITION B -> 125-135 LPS,MOVE ME C,Filter applied,Around This Place
Yamaha,MOTIF 6,PRE1,F10 JazzGTmelo,,Seaside Sunset
Yamaha,MOTIF 6,PRE2,D06 SweetFlute,,"Silky Feelin', Readymade Funk, Happy New Year"
Yamaha,MOTIF 6,PRE2,G01 SAKURA,,"Nihao Carden, Happy New Year"
Yamaha,MOTIF 6,PRE2,G14 EthncFlute,,Nihao Carden
Yamaha,MOTIF 6,USER,G08 Sine Lead,,Modern Cat Walk
Stuff to find/Confirm or Deconfirm/Potential leads,,,,,
Roland,XV-5080,,,Piano & Strings according to ESTi,Fortune Message
"Ragnarok Online (2002) - SoundTeMP, Jinbae Park, Sungwoon Jang, Goo-Hee Kwon, Seock-Jin Lee, Soo-Il Park, Goomin Nam",,,,,
Best Service,Advanced Mega Effects,Partition A -> VOLUME 006,DANGEROUS,Sample: TRIN#03.1,Backattack!!
Best Service,Black Box,Vol.1 welcome fantasy,the_rack,,"Good Night, Dancing Christmas in the 13th Month"
Best Service,Orchestral Colors,,WSG_D#,"If in EXB-PCM06, it's that instead",Curse'n Pain
Best Service,Orchestral Colors,,WSG_F#,"If in EXB-PCM06, it's that instead",Curse'n Pain
Best Service,Vocal Elements - Diamond Vocals,,Dv_trk15,Timestamp: 0:09.2,"Through The Tower, Dreamer's Dream"
Best Service,Vocal Elements - Diamond Vocals,,Dv_trk54,Timestamp: 0:03.7,Dreamer's Dream
Best Service,Vocal Elements - Diamond Vocals,,Dv_trk56,Timestamp: 0:51.8,Dreamer's Dream
Best Service,Vocal Elements - Diamond Vocals,,Dv_trk75,Timestamp: 0:05.6,Dreamer's Dream
Best Service,Vocal Elements - Diamond Vocals,,Dv_trk82,Timestamp: 0:15.3,Dreamer's Dream
Best Service,Voice Spectral,,Track 24,Timestamp 0:00,Dreamer's Dream
Best Service,Voice Spectral,,Track 86,Timestamp: 0:15.3,One Step Closer
Discovery Firm,Sound Effects CD Series - 6 - Nature,,Wind-1,Timestamp: 0:00.0,Outer Breath
Discovery Firm,Sound Effects CD Series - 6 - Nature,,Wind-2,Timestamp: 0:00.0,Outer Breath
EastWest,BT Breakz from the Nu Skool ,,073 Coat Hanger Live,,TeMP it Up
EastWest,BT Breakz from the Nu Skool ,,090 Graveyard Shift,,TeMPoison
EastWest,Percussive Adventures,,,Hihats (PA1 Coll. -> LoopPulses > 068),Peaceful Forest
EastWest,Percussive Adventures,,,Trail (PA1 Coll. > Hits/Holds > TRAILS),Risk Your Life
EastWest,Steve Stevens Guitar,Partition A -> SPECIAL EFX,EFX #1 3,,Time UP!
EastWest,Symphonic Orchestra,,,,"Steel Me, Noblesse Oblige, CheongChoon"
EastWest,Quantum Leap Brass,Alto Sax -> AS Long,AS Sustain,,Out of Curiosity
E-MU Systems,Proteus 2000,Bank 2,044 hit: Brass Hits 3,Could be ROM version?,CheongChoon
Ensoniq,EXP-3 Urban Dance Project,EXP030,066 Inharmonica,,Purity of your smile
eLAB,X-Static Goldmine 3,,Trance Sweeps 1,Timestamp: 0:50.1,Dreamer's Dream
Ensoniq,MR-Rack,RAM001,001 AmazonRiver,,"Theme of Geffen, Plateau"
Ensoniq,MR-Rack,ROM005,076 Harmonica,,Plateau
Ensoniq,MR-Rack,ROM005,091 Shamisen,,Theme of Payon
Ensoniq,MR-Rack,ROM005,004 Dbl 6-Strng,See notes about Ethical Aspiration,"Streamside, Ethical Aspiration"
