Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Please remember to give credit when reposting this info out of respect for the people who have found these sources. Click the link to view credits.,,,,,,
"Sonic CD (JP/EU): eph + AceKombat, ArieJuice, Ayala2004, Bouncy Glow, ChilliusVGM, Collision Chaos Radio, crissxcr0ss, Dumperghost/Mr. Miles, G-Boy, Hollie, IrisRose, koolaid, Mudstep, Nuclear, ScrewStache, thefizzyfrenzy, VlinkSens",,,,,,
,,,,,,
Table of Contents,,,,,,
,,,,,,
JUMP TO:,Classic,,,,,
"(Click the cell, and click the hyperlink",Modern,,,,,
that comes up.),Portable,,,,,
,Other,,,,,
,,,,,,
Section 1 - Classic,,,,,,
,,,,,,
,,,,,,
Sonic the Hedgehog ★★,,"(Released: June 23, 1991)",,(Music by: Masato Nakamura),,
Live Recording: SEGA,SEGA Choir,,,,SEGA Opening,Link
Roland,SN-R8-01 Contemporary Percussion,Internal,22 Timpani,,"Scrap Brain Zone, Boss, Final Zone, 1-Up, Act Clear",
Roland,TR-626,Drum Voices,SNARE DRUM 2,,-Used throughout the soundtrack-,
Yamaha,WRC02 Jazz Fusion,,Crt.-F.BD 1,,-Used throughout the soundtrack-,
Sonic the Hedgehog Genesis (GBA),,"(Released: November 14, 2006)",,,,
Roland,SOUND Canvas SC-88,SC-88 Map,023 000 Harmonica,,"Marble Zone, Special Stage",
Roland,SOUND Canvas SC-88,SC-88 Map,039 000 Synth Bass 1,,"Marble Zone, Special Stage",
Roland,SOUND Canvas SC-88,SC-88 Map,081 000 Square Wave,,Scrap Brain Zone,
Stuff to Find,,,,,,
E-MU Systems,?,,,Piano,Star Light Zone,
Sonic the Hedgehog 2 ★★,,,,(Music by: Masato Nakamura),,
All other instruments come from Sonic the Hedgehog,,,,,,
E-MU Systems,Procussion,Bank 0,013. Disco Ball,Record Scratch,Metropolis Zone,
Ensoniq,SQ-R,,,Tom,"Emerald Hill Zone, Metropolis Zone, Options, Aquatic Ruin Zone, 2 Player Results, Emerald Hill (2 Player), Unused (Track 10)",
Roland,R-8,Internal,45 808 HAND CLAP,,"Aquatic Ruin Zone, Metropolis Zone",
Roland,R-8,Internal -> Copy,17 OPEN HIGH CONGA,,Mystic Cave (2 Player),
Sonic CD,,,,"(Music by: Naofumi Hataya, Masafumi Ogata, Spencer Nilsen)",,
Japanese Red Book Audio,,"(Released: September 23, 1993)",,,,
